difficulty,question,answer
simple,"法正被派去协助哪位老将夺取定军山？","黄忠。"
simple,"赵云奉命带兵走哪条路接应黄忠？","小路。"
simple,"刘封、孟达带兵在山中做什么以迷惑敌人？","多立旌旗，以壮声势。"
simple,"曹操听闻汉中危机后，谁建议他必须亲自征讨？","长史刘晔。"
simple,"曹操率军亲征汉中时，乘坐的是什么颜色的马？","白马。"
simple,"曹操在蓝田拜访了谁的故居？","蔡邕庄，见到了其女蔡琰。"
simple,"蔡琰向曹操介绍了墙上图轴是什么碑文？","曹娥之碑。"
simple,"碑文背面蔡邕所书八字是什么？","“黄绢幼妇，外孙齑臼。”"
simple,"谁最先解出了“黄绢幼妇，外孙齑臼”的含义？","主簿杨修。"
simple,"“黄绢幼妇，外孙齑臼”八字隐语的谜底是什么？","“绝妙好辞”。"
simple,"夏侯渊初闻黄忠挑战时，采取了什么策略？","固守未曾出战。"
simple,"夏侯渊派谁去诱敌，并要求他只输不赢？","夏侯尚。"
simple,"黄忠用什么计策诱使夏侯渊出战？","反客为主之法（拔寨前进，步步为营）。"
simple,"黄忠用谁换回了被俘的部将陈式？","夏侯尚。"
simple,"黄忠射中夏侯尚哪个部位？","后心。"
simple,"法正建议黄忠夺取定军山西边的哪座山以俯视敌营？","对山。"
simple,"法正用什么颜色的旗帜作为信号指挥黄忠出击？","红旗。"
simple,"夏侯渊被黄忠斩杀时，战况如何？","措手不及，未及相迎被一刀砍为两段。"
simple,"谁在夏侯渊死后接应张郃，并告知定军山已被夺？","杜袭。"
simple,"刘封、孟达夺取了哪个重要地点？","定军山。"
simple,"曹操在哪里得知夏侯渊的死讯？","南郑（曹洪报知）。"
simple,"黄忠因斩杀夏侯渊被刘备加封为什么将军？","征西大将军。"
simple,"诸葛亮建议派谁去烧毁曹操在北山的粮草？","黄忠（与赵云同去）。"
simple,"黄忠和赵云通过什么方式决定谁先去劫粮？","拈阄。"
simple,"赵云营寨前的河流叫什么名字？","汉水。"
simple,"黄忠劫粮时，曹操派谁领兵将其围困？","徐晃。"
simple,"赵云救援黄忠时，杀了曹操哪两位将领？","慕容烈、焦炳。"
simple,"曹操在高处看到赵云英勇，说了句什么评价？","“昔日当阳长坂英雄尚在！”"
simple,"赵云回营后，面对曹军追击，采取了什么策略？","空营计（偃旗息鼓，大开寨门）。"
simple,"曹操任命谁为副先锋，协助徐晃渡汉水作战？","王平。"
simple,"徐晃欲效仿哪位古人采用背水列阵？","韩信。"
simple,"黄忠和赵云用什么策略击败了渡过汉水的徐晃？","待其日暮兵疲，分兵两路夹攻。"
simple,"王平因何事投降了刘备？","徐晃欲杀他，他夜晚放火烧营后投奔赵云。"
simple,"诸葛亮如何利用疑兵之计骚扰曹操，使其退兵？","夜间令赵云在土山后鸣鼓角，让曹兵惊疑不安。"
simple,"刘备在哪里与曹操对阵并大骂其罪行？","中路五界山前。"
simple,"曹操因看到蜀兵有哪些可疑之处而下令急退？","背汉水安营、多弃马匹军器。"
simple,"张飞和魏延奉命去截断曹操的什么？","粮道。"
simple,"许褚因何故被张飞击败？","酒醉。"
simple,"曹操的哪个儿子前来增援，解了斜谷之围？","次子曹彰（字子文）。"
