difficulty,question,answer
simple,"第九十一回中，孔明班师回国途经泸水时，天气如何？","阴云布合，狂风骤起。"
simple,"孟获告诉孔明，泸水猖神需要什么祭品？","旧例用七七四十九颗人头并黑牛白羊祭祀。"
simple,"孔明用什么代替人头祭祀泸水？","用面粉塑成人头形状，内填牛羊肉，名为馒头。"
simple,"孔明在泸水祭祀时，谁负责读祭文？","董厥。"
simple,"孔明从南方班师回朝时，后主在哪里迎接他？","出成都郭三十里。"
simple,"曹丕死时多少岁？在位几年？","四十岁，在位七年。"
simple,"曹丕死后，谁即位为魏国皇帝？","曹睿。"
simple,"曹睿即位后，司马懿被任命为什么职位，负责哪里？","骠骑大将军，提督雍、凉等处兵马。"
simple,"马谡向孔明献了什么计策来对付司马懿？","散布司马懿欲反的流言，并伪造榜文，使曹睿猜忌并杀掉司马懿。"
simple,"曹睿听信流言后，采用谁的计策试探司马懿？","曹真，仿效汉高祖伪游云梦。"
simple,"司马懿被削职后，谁接替他总督雍凉军马？","曹休。"
simple,"孔明是在何时向后主上《出师表》的？","建兴五年春三月。"
simple,"《出师表》中，孔明推荐了哪些宫中良臣？","郭攸之、费祎、董允等。"
simple,"《出师表》中，孔明推荐了哪位将军负责营中之事？","向宠。"
simple,"孔明在《出师表》中提到自己“躬耕南阳”时的志向是什么？","苟全性命于乱世，不求闻达于诸侯。"
simple,"孔明北伐时，谁因年老主动请缨担任先锋？","赵云。"
simple,"谁与赵云一同担任北伐先锋部队的将领？","邓芝。"
simple,"魏国派谁担任大都督抵御孔明北伐？","夏侯楙。"
simple,"司徒王朗为何反对任命夏侯楙为大都督？","认为夏侯楙没有实战经验，诸葛亮智谋深不可轻敌。"
simple,"夏侯楙出征前立下什么誓言？","若不生擒诸葛亮，誓不回见天子。"
simple,"第九十二回中，赵云在凤鸣山初战斩杀了韩德的哪四个儿子？","韩瑛、韩瑶（被擒）、韩琼、韩琪（受伤）。"
simple,"韩德使用什么兵器？","开山大斧。"
simple,"赵云在凤鸣山斩杀了西凉先锋韩德及其四个儿子后，夏侯楙采用了谁的计策来诱敌？","参军程武（程昱之子）。"
simple,"程武的计策是如何围困赵云的？","设伏兵于左右，主将佯败诱敌深入，登山指挥围攻。"
simple,"谁率兵救出了被夏侯楙围困的赵云？","关兴和张苞。"
simple,"关兴和张苞在救援赵云途中分别斩杀了哪位魏将？","关兴斩董禧，张苞斩薛则。"
simple,"孔明用计取三城，是指哪三座城？","南安、安定、天水。"
simple,"孔明用什么计策赚取了安定城？","派魏延伪装成安定援军赚开城门。"
simple,"第九十二回中，天水太守是谁？","马遵。"
simple,"谁识破了孔明派人伪装裴绪赚取天水、安定出兵的计策？","姜维。"
simple,"姜维是哪里人？表字为何？","天水冀人，字伯约。"
simple,"第九十三回中，赵云与姜维初次交手感觉如何？","赵云大惊，称赞姜维枪法与众不同，精神倍长。"
simple,"孔明用什么计策诱使姜维离开天水去守冀城？","声东击西，扬言攻打冀城（姜维母亲所在地）和上邽（粮仓）。"
simple,"孔明如何让夏侯楙相信姜维已经投降？","派士兵假扮姜维在夜间攻打天水城，并散布姜维投降的消息。"
simple,"最终是谁说服天水守将梁绪、尹赏开城投降的？","姜维射入密书，二人恐被夏侯楙所害，遂决定投降。"
simple,"孔明得到姜维后，如何评价他？","说“今遇伯约，吾愿足矣”，视其为可以传授平生之学的贤才。"
simple,"孔明与曹真对阵祁山，谁在阵前骂战被孔明骂死？","司徒王朗。"
simple,"王朗死后，郭淮建议曹真如何防备蜀军夜袭？","分兵四路，两路劫蜀营，两路伏于本寨外。"
simple,"孔明如何应对曹真、郭淮的夜袭计策？","将计就计，派魏延、赵云假装劫寨，实则设伏反击魏军劫寨部队。"
simple,"第九十四回中，魏国向哪个部族求救以夹击蜀军？","西羌。"
simple,"西羌国王是谁？其丞相和元帅分别是谁？","国王彻里吉，丞相雅丹，元帅越吉。"
simple,"西羌军队的特色兵种是什么？","铁车兵，用铁叶包裹，骆驼或骡马拖动。"
simple,"蜀将关兴被羌兵围困时，梦见谁显圣搭救？","其父关羽（关公）。"
simple,"孔明用什么计策大破羌兵？","利用大雪天，在山谷设陷阱，待铁车陷入，再用伏兵和弓弩攻击。"
simple,"谁活捉了羌人丞相雅丹？","马岱。"
simple,"孟达在叛魏归蜀前担任何职？镇守何处？","散骑常侍，领新城太守，镇守上庸、金城等地。"
simple,"谁向司马懿告发了孟达的叛乱计划？","金城太守申仪家人、孟达心腹李辅、外甥邓贤。"
simple,"司马懿接到孟达叛乱的消息后，为何没有先奏报魏主？","认为往返奏报耗时太久（约一月），会贻误战机。"
simple,"第九十五回中，司马懿评价诸葛亮用兵的特点是什么？","平生谨慎，未敢造次行事，不肯弄险。"
simple,"马谡在街亭扎营时，选择了什么地形？","选择了山上，而非当道要路口。"
simple,"王平反对马谡在山上扎营的主要理由是什么？","山上是绝地，若被断绝水源，军队会不战自乱。"
