difficulty,question,answer
simple,"孔明初次退兵汉中时用了什么计策迷惑司马懿？","减兵添灶之法。"
simple,"孔明因何事被后主从前线召回？","后主听信宦官谗言，又思念孔明，故召回。"
simple,"散布孔明谣言的宦官是谁？他后来去了哪里？","苟安。他投奔魏国去了。"
simple,"孔明回到汉中后，谁提出了分兵轮换、徐图进取的建议？","杨仪。"
simple,"孔明再次出师伐魏是在建兴几年？对应魏国什么年号？","建兴九年春二月，对应魏太和五年。"
simple,"魏主曹睿得知孔明再出祁山，任命谁为都督抵御蜀兵？","司马懿。"
simple,"司马懿任命谁为先锋？","张郃。"
simple,"司马懿派张郃守祁山，自己和郭淮去巡略天水诸郡是为了防备什么？","防止蜀兵割麦。"
simple,"孔明将大军驻扎在祁山何处？","卤城。"
simple,"孔明在卤城使用了几辆外观一样的四轮车来迷惑司马懿？","三辆。"
simple,"孔明在四轮车上是什么装扮？","簪冠鹤氅，手摇羽扇。"
simple,"孔明用计迷惑司马懿时，假扮孔明坐在其他两辆车上的是谁？","姜维、马岱、魏延。"
simple,"孔明用了多少兵力割取陇上小麦？","三万精兵。"
simple,"司马懿和郭淮夜袭卤城时，孔明安排了哪四位将领在城外设伏？","姜维、魏延、马忠、马岱。"
simple,"郭淮建议司马懿袭击何处以断蜀军归路？","剑阁。"
simple,"谁率领雍、凉人马前来助司马懿？","孙礼。"
simple,"杨仪报告哪里的士兵按期需要换班？","汉中兵。"
simple,"孔明是否因为魏军来攻而留下即将换班的士兵？","没有，他以信为本，坚持让士兵按期回家。"
simple,"孔明得知东吴可能与魏联合攻蜀的消息来自谁的告急书信？","永安都护李严。"
simple,"张郃在追击撤退的蜀军时，最终死于何地？","木门道。"
simple,"孔明设伏杀死张郃后，对魏兵说了句什么话来嘲讽司马懿？","“吾今日围猎，欲射一马，误中一獐。”"
simple,"李严为何谎报军情，谎称东吴将攻蜀？","因军粮不济，怕孔明怪罪，想让孔明退兵，并掩饰己过。"
simple,"李严最终受到了什么处罚？","被废为庶人，徙于梓潼郡闲住。"
simple,"孔明再次准备北伐前，谁上奏说天有异象，劝阻出兵？","太史谯周。"
simple,"谯周列举了哪几件不祥之兆来劝阻孔明伐魏？","群鸟投水而死、奎星侵犯太白、柏树夜哭。"
