difficulty,question,answer
simple,"曹操派谁去劝降刘备，以显示爱民之心？","徐庶。"
simple,"徐庶见到刘备后，告知曹操的真实意图是什么？","假借招降买民心，实则分兵八路进攻樊城。"
simple,"刘备不愿弃百姓独自逃跑，体现了他的什么理念？","以人为本。"
simple,"刘备带领百姓撤退时，路过了谁的墓并进行了祭拜？","刘表。"
simple,"刘备派谁去江夏向刘琦求救？","关羽（关云长）和孙乾。"
simple,"谁在襄阳城头怒斥蔡瑁、张允为卖国贼，并试图开门迎接刘备？","魏延。"
simple,"与魏延在襄阳城下交战的曹将是谁？","文聘。"
simple,"魏延最终投靠了哪位太守？","长沙太守韩玄。"
simple,"曹操得知刘琮投降后，加封蔡瑁何职？","镇南侯、水军大都督。"
simple,"曹操加封张允何职？","助顺侯、水军副都督。"
simple,"曹操派谁追杀刘琮母子以绝后患？","于禁。"
simple,"曹操任命谁为江陵太守、樊城侯？","蒯越。"
simple,"曹操派谁引军为先锋开道追击刘备？","文聘。"
simple,"曹操精选了多少铁骑追击刘备，限时多久赶上？","五千铁骑，限一日一夜。"
simple,"刘备派谁保护家眷老小？","赵云。"
simple,"刘备派谁断后？","张飞。"
simple,"简雍认为天气异象预示着什么？","大凶之兆，应在当夜，劝刘备弃百姓速走。"
simple,"糜芳误报谁投降了曹操？","赵云（赵子龙）。"
simple,"张飞在哪里设下疑兵之计阻挡曹军？","长坂桥东的树林。"
simple,"赵云在乱军中首先找到了谁？","简雍。"
simple,"赵云从谁手中救下了糜竺？","曹仁部将淳于导。"
simple,"赵云夺得了曹操哪位近将的宝剑？","夏侯恩。"
simple,"夏侯恩佩戴的宝剑叫什么名字？","青釭剑。"
simple,"糜夫人为了不拖累赵云和阿斗，最终如何了？","投井而死。"
simple,"赵云在长坂坡杀了多少曹营名将？","五十余员。"
simple,"在长坂桥头拦截赵云的钟缙、钟绅兄弟使用的是什么兵器？","钟缙用大斧，钟绅用画戟。"
simple,"赵云如何杀死钟绅？","左手隔戟，右手拔青釭剑砍死。"
simple,"赵云突围后，是谁在长坂桥接应他？","张飞。"
simple,"刘备为何要摔阿斗？","为了表示对赵云奋不顾身救子的感激和对赵云的重视（收买人心）。"
simple,"张飞在长坂桥上大喝吓死了曹操身边哪位将领？","夏侯杰。"
simple,"谁劝说曹操不要被张飞吓住，应该回军追击？","张辽、许褚。"
simple,"张飞断桥后，刘备认为此举有何不妥？","会让曹操料定刘备心虚无兵，反而放心大胆追来。"
simple,"谁在汉津渡口出现，截住曹操追兵？","关羽（关云长）。"
simple,"刘备在汉津渡口遇到了谁前来接应？","刘琦。"
