difficulty,question,answer
simple,"庞统和法正劝刘备在宴席上做什么事？","就席间杀刘璋。"
simple,"刘备拒绝在宴席上杀刘璋的首要原因是什么？","初入蜀中，恩信未立。"
simple,"谁在刘备与刘璋的宴会上舞剑意图刺杀刘璋？","魏延。"
simple,"谁出来与魏延对舞以保护刘璋？","张任。"
simple,"刘备最终如何阻止了宴会上的舞剑冲突？","亲自拔剑制止，声称兄弟相逢无疑忌，非鸿门宴。"
simple,"刘璋派遣哪两位将领守把涪水关以防刘备？","杨怀、高沛。"
simple,"孙权想趁刘备入蜀时夺取荆州，谁出面阻止了他？","吴国太（孙权的母亲）。"
simple,"张昭建议用什么计策诱骗孙夫人带阿斗回东吴？","诈称吴国太病危，让孙夫人带阿斗回去探望。"
simple,"孙权派去接孙夫人和阿斗的心腹将领是谁？","周善。"
simple,"谁在江边及时发现并试图阻止孙夫人带走阿斗？","赵云。"
simple,"赵云是如何登上孙夫人的大船的？","跳上渔船追赶，然后跃身跳上大船。"
simple,"赵云夺回阿斗后，谁率船队前来截住并杀了周善？","张飞。"
simple,"曹操因何事兴兵四十万攻打孙权？","报赤壁之仇。"
simple,"张纮临终前上书建议孙权迁都何处？","秣陵（后来的建业）。"
simple,"吕蒙建议在何处筑坞以防御曹操？","濡须水口。"
simple,"曹操手下谁首先提议尊曹操为魏公，加九锡？","董昭。"
simple,"谁明确反对曹操进位魏公，并因此触怒曹操？","荀彧。"
simple,"荀彧最终结局如何？","曹操送去空食盒，荀彧会意服毒自尽。"
simple,"曹操在濡须前线称赞谁“生子当如孙仲谋”？","孙权。"
simple,"曹操在濡须与孙权对峙时做了什么梦？","梦见三日并出，其中一红日落入己方山中。"
simple,"孙权写给曹操的书信背面批了哪两行字？","足下不死，孤不得安。"
simple,"张昭建议用什么计策让刘璋与刘备互相攻伐？","修书给刘璋说刘备联合东吴取西川，并写信给张鲁让其进攻荆州。"
simple,"刘备以何理由向刘璋请求增兵增粮？","推称需回援荆州，抵抗曹操对孙权的攻击。"
simple,"刘璋手下谁极力反对资助刘备军马钱粮？","杨怀和刘巴。"
simple,"庞统向刘备提供了哪三条取蜀计策？","上计：奇袭成都；中计：诱杀杨高夺关取涪城；下计：退回荆州。"
simple,"刘备选择了庞统三计中的哪一计？","中计。"
simple,"张松写给刘备的密信是如何败露的？","被其兄张肃偶然拾得并告发。"
simple,"刘备是如何诱杀杨怀、高沛二将的？","假称回荆州，邀二人送行，席间擒杀。"
simple,"刘备夺取涪水关后，在宴会上因何话语失当而斥责庞统？","酒后说“今日之会，可为乐乎？”被庞统批评伐人之国不应为乐。"
simple,"刘璋派去守雒城的四位将领是谁？","刘璝、泠苞、张任、邓贤。"
simple,"在锦屏山，紫虚上人给了刘璝等人哪八句预言？","“左龙右凤，飞入西川。雏凤坠地，卧龙升天。一得一失，天数当然。见机而作，勿丧九泉。”"
simple,"魏延和黄忠争夺攻打泠苞、邓贤营寨的头功，庞统如何解决？","让两人各打一寨，先得者为头功。"
simple,"魏延在进攻泠苞营寨时中了埋伏，被谁射伤了坐骑并险些被杀？","邓贤。（实为魏延马失前蹄，邓贤欲刺杀，被黄忠射死邓贤救下）"
simple,"是谁射杀了邓贤？","黄忠。"
simple,"泠苞最终是如何被擒获的？","被魏延伏兵用搭钩活捉。"
simple,"刘备释放泠苞后，泠苞返回雒城做了什么？","谎称杀敌逃回，并未提及被擒之事，继续抵抗。"
simple,"庞统死于何地？因何而死？","落凤坡。被张任军乱箭射死。"
simple,"庞统临死前骑的是谁的马？为何换马？","刘备的白马。因自己的马突然失蹄，刘备将爱马换给庞统。"
simple,"庞统死后，谁率军救了被围困的魏延？","黄忠。"
simple,"诸葛亮是如何得知庞统死讯的？","夜观天象，看到将星坠落。"
simple,"诸葛亮入川前，将荆州托付给谁？并留下哪八字方针？","关羽。北拒曹操，东和孙权。"
simple,"张飞奉命入川途中，遇到的第一个强硬抵抗来自哪位老将？","巴郡太守严颜。"
simple,"张飞用什么计策最终擒获了严颜？","佯装放弃攻城去偷袭小路，诱使严颜出城设伏，然后反包围擒获。"
simple,"严颜被俘后为何投降张飞？","感于张飞不杀之恩和敬重其忠义。"
simple,"严颜投降后，对张飞快速进军起到了什么作用？","作为前部，所到关隘皆劝降守将，兵不血刃。"
simple,"赵云是从哪条路进入西川与刘备会合的？","溯江而上。"
simple,"诸葛亮用什么计策生擒了张任？","在金雁桥设伏，诱敌过桥后拆桥断路，再用伏兵围捕。"
simple,"张任被俘后说了什么话？最终结局如何？","“忠臣岂肯事二主乎？”。拒不投降，被斩以全其名。"
simple,"刘璋手下哪位官员首先劝其投降刘备？","谯周，他引用天象和童谣为证。"
simple,"蜀郡太守许靖在刘备兵临城下时做了什么？","逾城出降。"
simple,"刘备占领成都后，谁首先反对将成都田宅分赐官员？","赵云。"
simple,"关羽得知马超归降，想入川与其比试，诸葛亮如何劝阻的？","写信称赞关羽“绝伦超群”，远胜马超，并强调荆州责任重大。"
simple,"孙权索要荆州不成，鲁肃设下了什么计策？","邀请关羽单刀赴会，意图在宴席上胁迫或刺杀。"
complex,"赵云截江夺阿斗和张飞杀周善这件事，对孙刘联盟产生了什么直接的负面影响？","使得孙刘两家关系进一步恶化，孙权大怒，几乎要起兵攻打荆州，虽因曹操来犯而暂时搁置，但仇恨加深，为后续的荆州争夺埋下伏笔。"
complex,"庞统提出的上中下三策分别是什么？刘备选择中策体现了他怎样的性格特点？","上计袭成都，中计赚关隘，下计退荆州。刘备选择中策，体现了他既想进取西川，又不愿过于冒险（嫌上计太促）或完全放弃（嫌下计太缓），且顾及“仁义”形象，不愿直接突袭，性格中谨慎和重名的一面。"
complex,"庞统之死对刘备取西川的进程有何影响？","庞统之死使刘备集团损失了重要的军事谋主，导致进攻雒城受挫，迫使刘备向荆州求援，诸葛亮不得不亲自入川主持大局，延长了平定西川的时间。"
complex,"张飞义释严颜的意义何在？这与他以往的形象有何不同？","意义在于兵不血刃地打开了通往成都的道路，收服了蜀中人心。这展现了他粗中有细、敬重忠义的一面，不同于以往纯粹勇猛刚烈的形象。"
complex,"诸葛亮入川前对关羽“北拒曹操，东和孙权”的嘱托，为何如此重要？","荆州地处战略要冲，是刘备集团的根基。北有强敌曹操，东有潜在盟友（也可能是敌人）孙权。此八字方针是维持荆州安全、保障西川后方的核心外交与军事策略。"
complex,"马超归降刘备的过程是怎样的？这对当时的战局有何影响？","马超攻葭萌关不下，被张鲁猜忌，进退两难。刘备派李恢说降成功。马超的加入大大增强了刘备军的实力和声望，直接震慑了刘璋，加速了成都的投降。"
complex,"刘备占据益州后，在人事和律法上采取了哪些措施？孔明和法正对此有何不同看法？","人事上，重用蜀中降将和荆州旧部。律法上，孔明主张严刑峻法以整顿吏治。法正认为应宽刑。孔明解释因刘璋宽仁致乱，需先严后恩。法正最终拜服。"
complex,"关羽单刀赴会的目的是什么？他是如何化解危机的？","目的是维护刘备对荆州的控制权，同时不失信于鲁肃的邀请。他只带少量随从，在宴会上据理力争，关键时刻以醉酒为名，挟持鲁肃到江边，利用关平接应的船只安全离开。"
complex,"伏皇后密谋除曹为何失败？此事对汉献帝的处境有何影响？","因穆顺传递书信时被曹操察觉并搜出。失败导致伏后、二子及伏氏宗族被杀，曹操废后并立自己女儿为后，汉献帝彻底沦为傀儡，权力进一步被架空，处境更加凄惨。"
complex,"曹操平定汉中后，司马懿和刘晔建议乘胜攻取西川，曹操为何拒绝？","曹操认为“既得陇，复望蜀”是贪心不足，且士卒远征疲惫需要休整。他未能采纳立刻进攻的建议。"
complex,"张辽在合淝之战中是如何以少胜多的？此战有何著名影响？","他利用孙权军初至、主公曹操远征的心理，主动出击，在逍遥津设伏，大破孙权中军，几乎擒获孙权。此战让张辽威名大震，“闻张辽大名，小儿也不敢夜啼”。"
complex,"甘宁百骑劫曹营展现了他怎样的性格和能力？孙权如何评价此事？","展现了甘宁胆识过人、勇猛无畏的性格和出色的突击能力。孙权高度评价，称赞其勇足以惊骇曹操，并将他与曹操的张辽相提并论（“孟德有张辽，孤有甘兴霸”）。"
