difficulty,question,answer
simple,"孔明欲斩谁以明军纪，但被玄德阻止？","关云长（关羽）。"
simple,"周瑜令谁为先锋攻打南郡？","蒋钦。"
simple,"曹仁派谁守彝陵，以为掎角之势？","曹洪。"
simple,"谁率五百军出战东吴，被丁奉诱入阵中围困？","牛金。"
simple,"在南郡城上望见牛金被围，谁亲自出城救援？","曹仁。"
simple,"曹仁救出牛金后，谁引兵接应混战？","曹仁之弟曹纯。"
simple,"谁建议周瑜先取彝陵再图南郡？","甘宁。"
simple,"甘宁被围在彝陵，谁自告奋勇突围入城报信？","周泰。"
simple,"周瑜用何计策诱曹仁出城劫寨？","诈死之计，令军士诈降报信。"
simple,"周瑜大败曹仁后，谁已提前占领了南郡？","赵云（奉诸葛亮命）。"
simple,"谁用计袭取了荆州？","张飞（奉诸葛亮命）。"
simple,"谁用计袭取了襄阳？","关羽（奉诸葛亮命）。"
simple,"周瑜得知三郡皆失，气得如何？","金疮迸裂，大叫一声。"
simple,"谁奉命前往江东，向刘备讨还荆州？","鲁肃。"
simple,"诸葛亮以谁尚在为由，暂时不还荆州？","刘琦。"
simple,"鲁肃回报周瑜后，认为刘琦何时会死？","不过半年。"
simple,"孙权攻打何处受挫，令周瑜班师回援？","合淝。"
simple,"谁向刘备建议先取荆南四郡作为根本？","马良。"
simple,"马良建议先取哪一郡？","零陵。"
simple,"零陵太守是谁？","刘度。"
simple,"零陵守将邢道荣使用的是什么兵器？","开山大斧。"
simple,"邢道荣被谁生擒？","张飞追击，赵云拦截，最终投降赵云。"
simple,"赵云计取桂阳时，桂阳太守是谁？","赵范。"
simple,"赵范手下两位自称勇猛的猎户将领是谁？","陈应、鲍隆。"
simple,"陈应擅长使用什么兵器？","飞叉。"
simple,"赵范欲将谁嫁给赵云？","他的寡嫂樊氏。"
simple,"赵云为何拒绝赵范的婚事提议？","认为这是乱伦，且怀疑赵范用心。"
simple,"武陵太守是谁？","金旋。"
simple,"谁劝金旋投降刘备但被拒绝？","从事巩志。"
simple,"张飞与金旋交战，金旋战况如何？","不敢交锋，拨马便走。"
simple,"最终谁射杀了金旋？","巩志（一箭射中面门）。"
simple,"长沙太守是谁？","韩玄。"
simple,"韩玄手下的著名老将是谁？","黄忠。"
simple,"黄忠擅长使用什么兵器？","刀和弓（能开二石力之弓）。"
simple,"关羽和黄忠第一次交手多少回合不分胜负？","一百余合。"
simple,"关羽为何没有趁黄忠马失前蹄时杀他？","敬重其勇武，欲公平决胜（义气）。"
simple,"黄忠为报关羽不杀之恩，用箭射向关羽何处？","盔缨根上。"
simple,"谁救下了险被韩玄斩首的黄忠？","魏延。"
simple,"魏延为何杀韩玄？","称韩玄残暴不仁，轻贤慢士。"
simple,"孙权在合淝与谁交战？","曹操军（主要是张辽）。"
simple,"孙权在阵前被谁突袭险些丧命？","乐进。"
simple,"谁射杀了孙权部将宋谦？","李典。"
simple,"谁献计在合淝城内放火，欲刺杀张辽？","太史慈（通过戈定与内应联络）。"
simple,"太史慈在合淝城中计，身中数箭后最终结局如何？","伤重而亡。"
simple,"刘琦病亡后，谁代表东吴前来吊丧并索要荆州？","鲁肃。"
simple,"诸葛亮和刘备用什么理由再次拖延归还荆州？","刘璋是同宗，不忍攻伐西川，无处安身。"
simple,"鲁肃与刘备签订的关于荆州的文书，保人是谁？","诸葛亮和鲁肃自己。"
simple,"周瑜为夺回荆州，向孙权献了什么计策？","美人计（假意将孙权妹妹嫁给刘备，诱其入吴）。"
simple,"谁作为媒人去荆州向刘备提亲？","吕范。"
simple,"诸葛亮为保刘备入吴安全，给了赵云什么？","三个锦囊妙计。"
simple,"刘备到南徐后，第一个锦囊让赵云做了什么？","让随行军士大肆采办婚礼用品，传扬婚事。"
simple,"谁帮助刘备在吴国太面前说了好话？","乔国老。"
simple,"吴国太在何处相看刘备？","甘露寺。"
simple,"刘备在甘露寺用剑砍什么祈祷？","石块。"
simple,"孙权妹妹闺名（演义中提及）？","孙夫人（通常称为孙尚香）。"
simple,"刘备夫妇用什么借口离开南徐？","借口到江边祭祀刘备先祖。"
simple,"周瑜最后一次试图夺取荆州的计策是什么？","假途灭虢（假装伐蜀，途经荆州时夺取）。"
simple,"识破周瑜假途灭虢之计的是谁？","诸葛亮。"
simple,"周瑜在最后一次失败后，气绝前喊出的名言是什么？","既生瑜，何生亮！"
simple,"周瑜死后推荐谁接替自己的都督职位？","鲁肃。"
simple:"庞统因相貌丑陋未被孙权重用，前往荆州投靠刘备，最初被任命担任何职？","耒阳县令。"
