difficulty,question,answer
simple,"《三国演义》开篇词《临江仙》的作者是谁？","书中未明确说明，通常认为是杨慎所作，但演义直接引用。"
simple,"汉朝末年，天下大乱始于哪两位皇帝？","桓帝、灵帝。"
simple,"十常侍是谁尊称张让为“阿父”？","汉灵帝。"
simple,"张角、张宝、张梁三兄弟中，谁被称为“天公将军”？","张角。"
simple,"张角得到的“天书”叫什么名字？","《太平要术》。"
simple,"黄巾起义提出的口号是什么？","苍天已死，黄天当立；岁在甲子，天下大吉。"
simple,"刘备字什么？","玄德。"
simple,"刘备的家乡在哪里？","涿县楼桑村。"
simple,"形容刘备外貌时提到“两耳垂肩，双手过膝”，这是什么特征？","书中描述的异相，预示其非凡。"
simple,"张飞字什么？","翼德。"
simple,"张飞的职业是什么？","卖酒屠猪。"
simple,"关羽字什么？","云长（原字长生）。"
simple,"关羽是哪里人？","河东解良人。"
simple,"关羽为何逃难江湖？","因杀了本地倚势凌人的豪强。"
simple,"桃园三结义中，谁是大哥？","刘备。"
simple,"桃园结义的誓词中“不求同年同月同日生”的下一句是什么？","只愿同年同月同日死。"
simple,"谁资助了刘备、关羽、张飞起兵的马匹和金银？","中山大商张世平、苏双。"
simple,"关羽使用的兵器叫什么名字？","青龙偃月刀（又名冷艳锯）。"
simple,"张飞使用的兵器叫什么？","丈八点钢矛（丈八蛇矛）。"
simple,"刘备初次参战，讨伐的黄巾将领是谁？","程远志。"
simple,"谁一矛刺死了程远志的副将邓茂？","张飞。"
simple,"谁一刀将程远志挥为两段？","关羽。"
simple,"刘备投奔的第一位官僚是谁？","幽州太守刘焉。"
simple,"刘备去青州救援时，青州太守是谁？","龚景。"
simple,"刘备曾拜谁为师？","卢植。"
simple,"曹操字什么？小名是什么？","字孟德，小名阿瞒。"
simple,"许劭评价曹操是什么？","治世之能臣，乱世之奸雄。"
simple,"曹操初任洛阳北部尉时，用什么来整肃治安？","五色棒。"
simple,"卢植因何事被押解回京问罪？","被黄门左丰诬告（因未行贿）。"
simple,"谁取代卢植领兵对抗张角？","董卓。"
simple,"董卓第一次遇见刘备等人时，对他们态度如何？","轻视无礼（因刘备是白身）。"
simple,"张飞为何想杀董卓（第一次相遇时）？","因董卓怠慢了救他的刘备等人。"
simple,"刘备用什么计策击败了张宝的妖法？","令关张在高处泼洒猪羊狗血等秽物。"
simple,"谁射中了张宝左臂？","刘备。"
simple,"谁刺杀了张宝并献首投降？","贼将严政。"
simple,"孙坚字什么？","文台。"
simple,"孙坚在宛城之战中斩杀了哪位黄巾将领？","赵弘。"
simple,"张飞鞭打的督邮当时正在做什么？","逼勒县吏诬告刘备害民。"
simple,"刘备弃官后，与关张投奔了谁？","代州刘恢。"
simple,"何进因何出身得以权重？","因其妹何氏成为皇后。"
simple,"汉灵帝欲立哪个儿子为太子？","皇子协（刘协）。"
simple,"谁提醒何进不要入宫，蹇硕欲杀他？","司马潘隐。"
simple,"谁提出召集四方英雄勒兵来京，诛杀宦官？","袁绍。"
simple,"谁将何进的首级从宫墙上扔下？","张让等宦官。"
simple,"谁在宫中混乱时救了何太后？","卢植。"
simple,"谁在北邙山找到了走失的少帝和陈留王？","河南中部掾吏闵贡。"
simple,"董卓是哪里人？","陇西临洮人。"
simple,"董卓在废立皇帝的宴会上，第一个站出来反对他的是谁？","荆州刺史丁原。"
simple,"董卓用什么礼物说服了李肃去劝降吕布？","赤兔马、黄金、明珠、玉带。"
simple,"吕布杀丁原后，拜谁为义父？","董卓。"
complex,"桃园三结义的背景是什么？它对刘备集团的形成有何重要意义？","背景是黄巾起义，天下大乱，朝廷募兵。结义确立了刘、关、张三人牢不可破的核心关系，以“义”凝聚人心，为刘备集团奠定了基础，是其早期凝聚力的重要来源。"
complex,"曹操在《三国演义》前十章中性格特点如何？请结合具体事件说明。","曹操表现出机智（骗叔父）、权谋（评价）、忠义（讨董）、残忍（杀吕伯奢）、果决（刺董、追击）与重视人才（招贤纳士）等复杂性格。既有匡扶汉室之心，又有不择手段的枭雄本色。"
